,Macro Predictions
0,0.6617073968643659
1,0.49811961065176263
2,0.6832511871820971
3,0.6910622495918973
4,0.6704217392802282
5,0.6910622495918973
6,0.6546677122636134
7,0.6844764705348396
8,0.6546677122636134
9,0.5491937135038528
10,0.33838244021606395
11,0.34265833494040815
12,0.34397488181522506
13,0.336299509681067
14,0.34397488181522506
15,0.34397488181522506
16,0.336299509681067
17,0.33834047699984987
18,0.6764195301251101
19,0.6810600768802902
20,0.6785613738038937
21,0.6809384340769139
22,0.6910622495918973
23,0.33838244021606395
24,0.3375983932912542
25,0.3375983932912542
26,0.336299509681067
27,0.6813578958600922
28,0.6844764705348396
29,0.6704089304445122
30,0.6764195301251101
31,0.6704089304445122
32,0.6764195301251101
33,0.6704089304445122
34,0.670822196504214
35,0.3426908863389811
36,0.3375994546416123
37,0.33834047699984987
38,0.34397488181522506
39,0.34397488181522506
40,0.6810600768802902
41,0.6810600768802902
42,0.6704089304445122
43,0.6810600768802902
44,0.677129818430594
45,0.3375994546416123
46,0.33834047699984987
47,0.33834047699984987
48,0.34397488181522506
49,0.34397488181522506
50,0.34397488181522506
51,0.6671170713839633
52,0.6810600768802902
53,0.692831237763385
54,0.6810600768802902
55,0.6813578958600922
56,0.6844764705348396
57,0.6714412355591642
58,0.6810600768802902
59,0.6764195301251101
60,0.6791756019431733
61,0.6910622495918973
62,0.6791756019431733
63,0.3375983932912542
64,0.34868959405261585
65,0.34868959405261585
66,0.34868959405261585
67,0.6910622495918973
68,0.6827192177696888
69,0.6764195301251101
70,0.6785613738038937
71,0.692831237763385
72,0.6704089304445122
73,0.6843635052524294
74,0.6791756019431733
75,0.3370090685045964
76,0.3370090685045964
77,0.3370090685045964
78,0.3375983932912542
79,0.6844764705348396
80,0.6843635052524294
81,0.6843635052524294
82,0.6843635052524294
83,0.6844764705348396
84,0.6648496475064714
85,0.6910622495918973
86,0.6910622495918973
87,0.33981488564593454
88,0.3439950054415022
89,0.3370090685045964
90,0.35101842055336063
91,0.3370090685045964
92,0.34265833494040815
93,0.3375983932912542
94,0.3375983932912542
95,0.3439950054415022
96,0.3439950054415022
97,0.6910622495918973
98,0.6704089304445122
99,0.6844764705348396
100,0.6844764705348396
101,0.6810600768802902
102,0.6810600768802902
103,0.6844764705348396
104,0.6764195301251101
105,0.3370090685045964
106,0.3370090685045964
107,0.3370090685045964
108,0.3385516499078384
109,0.33834047699984987
110,0.3370090685045964
111,0.3370090685045964
112,0.34211348498734684
113,0.3439950054415022
114,0.33834047699984987
115,0.3429427464312495
116,0.3375983932912542
117,0.6764195301251101
118,0.6910622495918973
119,0.6785613738038937
120,0.6844764705348396
121,0.3385516499078384
122,0.33834047699984987
123,0.3375983932912542
124,0.34397488181522506
125,0.3375994546416123
126,0.6844764705348396
127,0.6844764705348396
128,0.670773523783371
129,0.670773523783371
130,0.6785613738038937
131,0.6791756019431733
132,0.33834047699984987
133,0.34265833494040815
134,0.34397488181522506
135,0.3466893179697277
136,0.3375983932912542
137,0.6764195301251101
138,0.6764195301251101
139,0.6719233468953115
140,0.6764195301251101
141,0.3370090685045964
142,0.6785613738038937
143,0.6785613738038937
144,0.34397488181522506
145,0.33834047699984987
146,0.6844764705348396
147,0.6785613738038937
148,0.34397488181522506
149,0.33834047699984987
150,0.6844764705348396
151,0.6844764705348396
152,0.34397488181522506
153,0.3375983932912542
154,0.6785613738038937
155,0.6810600768802902
156,0.6698279420724172
157,0.6698279420724172
158,0.6785613738038937
159,0.6698279420724172
160,0.6844764705348396
161,0.34393156531063207
162,0.3375994546416123
163,0.34697815743391935
164,0.3375983932912542
165,0.3375983932912542
166,0.34265833494040815
167,0.3375994546416123
168,0.3375983932912542
169,0.34265833494040815
170,0.34397488181522506
171,0.3370090685045964
172,0.3550851448525058
173,0.6764195301251101
174,0.6809384340769139
175,0.6910622495918973
176,0.6764195301251101
177,0.6903694383218583
178,0.6810600768802902
179,0.34697815743391935
180,0.3426908863389811
181,0.34211348498734684
182,0.3422547029440436
183,0.3426908863389811
184,0.6810600768802902
185,0.6910622495918973
186,0.6791756019431733
187,0.6785613738038937
188,0.6785613738038937
189,0.3483754976358997
190,0.3422547029440436
191,0.34397488181522506
192,0.3375994546416123
193,0.3370090685045964
194,0.34397488181522506
195,0.6785613738038937
196,0.6910622495918973
197,0.6844764705348396
198,0.6810600768802902
199,0.3429427464312495
200,0.34397488181522506
201,0.3400883757151029
202,0.34397488181522506
203,0.3496203892370612
204,0.33834047699984987
205,0.3430890251021992
206,0.34397488181522506
207,0.6844764705348396
208,0.6810600768802902
209,0.6844764705348396
210,0.6764195301251101
211,0.6764195301251101
212,0.3400883757151029
213,0.3375983932912542
214,0.34397488181522506
215,0.336299509681067
216,0.3375983932912542
217,0.6752695147433448
218,0.6764195301251101
219,0.692831237763385
220,0.6671170713839633
221,0.6910622495918973
222,0.6750921169582805
223,0.34417703370339736
224,0.34397488181522506
225,0.3400883757151029
226,0.33834047699984987
227,0.34397488181522506
228,0.3702021419526333
229,0.33834047699984987
230,0.33834047699984987
231,0.4294244156628628
232,0.34697815743391935
233,0.34397488181522506
234,0.34265833494040815
235,0.33834047699984987
236,0.3400883757151029
237,0.5059286934901646
238,0.3439950054415022
239,0.336299509681067
240,0.3439950054415022
241,0.6714412355591642
242,0.6704217392802282
243,0.6791756019431733
244,0.6671170713839633
245,0.6714412355591642
246,0.6764195301251101
247,0.6785613738038937
248,0.6910622495918973
249,0.3427002981566222
250,0.34673544466334083
251,0.336299509681067
252,0.35101842055336063
253,0.3375994546416123
254,0.336299509681067
255,0.336299509681067
256,0.3409112844925548
257,0.6785613738038937
258,0.6910622495918973
259,0.6810600768802902
260,0.6785613738038937
261,0.3439950054415022
262,0.336299509681067
263,0.40354345444519296
264,0.336299509681067
265,0.3496203892370612
266,0.3375983932912542
267,0.6719233468953115
268,0.6813578958600922
269,0.6785613738038937
270,0.6810600768802902
271,0.6764195301251101
272,0.3509123427072882
273,0.33834047699984987
274,0.3509123427072882
275,0.3375983932912542
276,0.34397488181522506
277,0.6764195301251101
278,0.6810600768802902
279,0.6810600768802902
280,0.6713270213351062
281,0.6713270213351062
282,0.6764195301251101
283,0.6785613738038937
284,0.6844764705348396
285,0.4216676269080628
286,0.35101842055336063
287,0.49299939776643087
288,0.33834047699984987
289,0.33834047699984987
290,0.33834047699984987
291,0.6785613738038937
292,0.6786301534162062
293,0.6680998423857574
294,0.6785613738038937
295,0.6752695147433448
296,0.6785613738038937
297,0.6810600768802902
298,0.6764195301251101
299,0.33834047699984987
300,0.34697815743391935
301,0.34697815743391935
302,0.34397488181522506
303,0.336299509681067
304,0.34397488181522506
305,0.34265833494040815
306,0.33834047699984987
307,0.3375983932912542
308,0.3375994546416123
309,0.3567045335926639
310,0.6810600768802902
311,0.6785613738038937
312,0.6810600768802902
313,0.6785613738038937
314,0.34393156531063207
315,0.336299509681067
316,0.33834047699984987
317,0.34397488181522506
318,0.34397488181522506
319,0.6810600768802902
320,0.6764195301251101
321,0.6910622495918973
322,0.6785613738038937
323,0.6910622495918973
324,0.3375983932912542
325,0.3375994546416123
326,0.3375994546416123
327,0.336299509681067
328,0.336299509681067
329,0.6844764705348396
330,0.6910622495918973
331,0.6910622495918973
332,0.6910622495918973
333,0.6764195301251101
334,0.3375983932912542
335,0.336299509681067
336,0.33834047699984987
337,0.3375983932912542
338,0.6910622495918973
339,0.6843635052524294
340,0.6843635052524294
341,0.692831237763385
342,0.6638301512275353
343,0.3375983932912542
344,0.34697815743391935
345,0.3375994546416123
346,0.3375994546416123
347,0.34397488181522506
348,0.3375994546416123
349,0.6764195301251101
350,0.6844764705348396
351,0.6910622495918973
352,0.6764195301251101
353,0.33834047699984987
354,0.34265833494040815
355,0.336299509681067
356,0.3385516499078384
357,0.33834047699984987
358,0.6910622495918973
359,0.6810600768802902
360,0.6810600768802902
361,0.6764195301251101
362,0.3375983932912542
363,0.3375983932912542
364,0.33834047699984987
365,0.33834047699984987
366,0.6910622495918973
367,0.6810600768802902
